absorb			/ Eb5sR:b/  vt.吸收；使专心
biology		/ bai5RlEdVi/  n.生物学；生态学
biscuit		/ 5biskit/  n.（英）饼干;(美)软饼
bite			/ bait/  vt。咬，叮，螫；剌穿
bitter			/ 5bitE/  a.痛苦的；严寒的
blackboard		/ 5blAkbR：d/  n。黑板
blade			/ bleid/  n.刀刃,刀片；叶片
blanket		/ 5blANkit/  n。毛毯，毯子，羊毛毯
blast			/ bla：st/  n.爆炸，冲击波 vt.炸
blend			/ blend/  vt.&vi.&n。混和
block			/ blRk/  n。街区 vt.堵塞，拦阻
board			/ bR：d/  n.板 vt。上(船、车等）
boast			/ bEust/  vi.自夸 vt.吹嘘
bold			/ bEuld/  a。大胆的；冒失的
bolt			/ bEult/  n。螺栓;插销 vt。闩门
bomb			/ bRm/  n.炸弹 vt.轰炸
bond			/ bRnd/  n.联结，联系；公债
bone			/ bEun/  n。骨，骨骼
boot			/ bu:t/  n。靴子，长统靴
border			/ 5bR：dE/  n.边,边缘；边界
bother			/ 5bRTE/  vt.烦扰，迷惑 n.麻烦
bottle			/ 5bRtl/  n.瓶，酒瓶；一瓶
bottom			/ 5bRtEm/  n。底，底部,根基
bounce			/ bauns/  vi。反跳，弹起；跳起
bound			/ baund/  a。一定的；有义务的
boundary		/ 5baundEri/  n。分界线,办界
bow			/ bau/  n.弓；蝴蝶结；鞠躬
brake			/ breik/  n.闸，刹车 vi.制动
branch			/ bra:ntF/  n.树枝；分部；分科
brass			/ bra:s/  n。黄铜;黄铜器
brave			/ breiv/  a.勇敢的，华丽的
bread			/ bred/  n.面包;食物，粮食
breadth		/ bredT/  n.宽度，幅度；幅面
break			/ breik/  vt。打破；损坏；破坏
breast			/ brest/  n.乳房；胸脯，胸膛
breed			/ bri：d/  n。品种 vt.使繁殖
breeze			/ bri：z/  n。微风,和风
brick			/ brik/  n。砖，砖块；砖状物
bride			/ braid/  n. 新娘
brilliant		/ 5briljEnt/  a.光辉的;卓越的
British		/ 5britiF/  a。不列颠的,英联邦的
broad			/ brR：d/  a。宽的，阔的;广泛的
broadcast		/ 5brR:dka：st/  n。广播，播音
brow			/ brau/  n。额;眉，眉毛
brush			/ brQF/  n。刷子，毛刷；画笔
bubble			/ 5bQbl/  n。泡 vi.冒泡，沸腾
bucket			/ 5bQkit/  n.水桶;吊桶；铲斗
building		/ 5bildiN/  n.建筑物，大楼;建筑
bulb			/ bQlb/  n。电灯泡；球状物
bulk			/ bQlk/  n。物体,容积,大批
bullet			/ 5bulit/  n.枪弹，子弹，弹丸
bundle			/ 5bQndl/  n。捆，包，束;包袱
burden			/ 5bE：dn/  n.担子，重担；装载量
bureau			/ 5bjuErEu/  n。局，司，处；社，所
burn			/ bE:n/  vi。烧，燃烧 n。烧伤
burst			/ bE：st/  vt。使爆裂 vi。&n.爆炸
bury			/ 5beri/  vt.埋葬，葬；埋藏
bush			/ buF/  n.灌木，灌木丛，矮树
button			/ 5bQtn/  n。扣子;按钮 vt。扣紧
cabin			/ 5kAbin/  n.小屋;船舱，机舱
cabinet		/ 5kAbinit/  n。橱，柜；内阁
cable			/ 5keibl/  n。缆，索；电缆；电报
cafe			/ 5kAfei， kE5fei/  n。咖啡馆；小餐厅
calculate		/ 5kAlkjuleit/  vt.计算；估计；计划
calculator		/ 5kAlkjuleitE/  n.计算器,计算者
calendar		/ 5kAlindE/  n.日历，历书；历法
calm			/ ka:m/  a。静的，平静的
camel			/ 5kAmEl/  n。骆驼
camera			/ 5kAmErE/  n。照相机，摄影机
camp			/ kAmp/  n。野营，营地，兵营
campaign		/ kAm5pein/  n.战役；运动
campus			/ 5kAmpEs/  n.校园，学校场地
can			/ kAn/  aux。v。能，会，可能
can			/ kAn/  n。罐头，听头；容器
Canadian		/ kE5neidjEn/  a.加拿大的
canal			/ kE5nAl/  n。运河；沟渠；管
candidate		/ 5kAndidit/  n.候选人；投考者
candle			/ 5kAndl/  n。蜡烛；烛形物；烛光
cap			/ kAp/  n.帽子,便帽；帽状物
capable		/ 5keipEbl/  a.有能力的，有才能的
capacity		/ kE5pAsiti/  n。容量；能力；能量
capital		/ 5kApitl/  n.资本，资金;首都
captain		/ 5kAptin/  n.陆军上尉;队长
capture		/ 5kAptFE/  vt.捕获，俘获;夺得
carbon			/ 5ka:bEn/  n.碳
cargo			/ 5ka:gEu/  n。船货，货物
carpenter		/ 5ka:pintE/  n.木工，木匠
carpet			/ 5ka:pit/  n.地毯，毡毯，毛毯
carriage		/ 5kAridV/  n。客车厢;四轮马车
carrier		/ 5kAriE/  n.运输工具；运载工具
cart			/ ka:t/  n.二轮运货马车
case			/ keis/  n。情况；事实；病例
cassette		/ ka：5set/  n。盒式录音带；盒子
cast			/ ka:st/  vt.投，扔,抛;浇铸
castle			/ 5ka:sl/  n。城堡；巨大建筑物
casual			/ 5kAVjuEl/  a。偶然的；随便的
catalog		/ 5kAtElRg/  n.目录，目录册
cease			/ si:s/  vi。＆vi.&n.停止，停息
celebrate		/ 5selibreit/  vt。庆祝；歌颂，赞美
cell			/ sel/  n。细胞；小房间
cement			/ si5ment/  n。水泥；胶泥 vt.粘结
cent			/ sent/  n。分；分币;百
centimetre		/ 5sentimi：tE/  n.公分，厘米
ceremony		/ 5serimEni/  n。典礼，仪式；礼节
certificate		/ sE5tifikit/  n.证书，证件，执照
chamber		/ 5tFeimbE/  n.会议室；房间;腔
champion		/ 5tFAmpjEn/  n。冠军，得胜者
chapter		/ 5tFAptE/  n。章,回，篇
characteristic		/ kAriktE5ristik/  a.特有的 n.特性
charge			/ tFa:dV/  vt.索价；控告 n.费用
chart			/ tFa:t/  n.图，图表；海图
chase			/ tFeis/  n.追逐，追赶，追求
cheap			/ tFi:p/  a.廉价的；劣质的
cheat			/ tFi:t/  vt。骗取；哄 vi。行骗
cheer			/ tFiE/  vt。使振作;欢呼
cheerful		/ 5tFiEful/  a。快乐的，愉快的
cheese			/ tFi：z/  n。乳酪，干酪
chemical		/ 5kemikl/  a.化学的 n。化学制品
chemist		/ 5kemist/  n.化学家；药剂师
cheque			/ tFek/  n.支票
chill			/ tFil/  vt。使变冷 n。寒冷
chimney		/ 5tFimni/  n。烟囱，烟筒；玻璃罩
chin			/ tFin/  n。颏，下巴
chocolate		/ 5tFRkElit/  n.巧克力；巧克力糖
choke			/ tFEuk/  vt.使窒息；塞满
chop			/ tFRp/  vt.砍，劈；切细vi.砍
Christian		/ 5kristiEn/  n.基督教徒；信徒
Christmas		/ 5krismEs/  n。圣诞节
circuit		/ 5sE:kit/  n.电路;环行；巡行
circular		/ 5sE：kjulE/  a.圆的；循环的
circulate		/ 5sE：kjuleit/  vt。使循环 vi.循环
circumference		/ sE5kQmfErEns/  n。圆周，周长,圆周线
circumstance		/ 5sE:kEmstEns/  n。情况，条件;境遇
citizen		/ 5sitizn/  n.公民；市民，居民
civilization		/ sivilai5zeiFEn/  n.文明,文化；开化
civilize		/ 5sivilaiz/  vt。使文明；教育
classification		/ klAsifi5keiFEn/  n。分类；分级；分类法
classify		/ 5klAsifai/  vt.把…分类
claw			/ klR:/  n.爪,脚爪,螯
clay			/ klei/  n。粘土,泥土；肉体
clue			/ klu:/  n。线索,暗示，提示
clumsy			/ 5klQmzi/  a.笨拙的；愚笨的
coach			/ kEutF/  n。长途公共汽车
coal			/ kEul/  n.煤，煤块
coarse			/ kR:s/  a.粗的，粗糙的
coast			/ kEust/  n。海岸，海滨（地区)
cock			/ kRk/  n。公鸡；雄禽；旋塞
code			/ kEud/  n.准则;法典；代码
coffee			/ 5kRfi/  n。咖啡，咖啡茶
coil			/ kRil/  n.(一）卷；线圈 vt。卷
collapse		/ kE5lAps/  vi。倒坍；崩溃，瓦解
collar			/ 5kRlE/  n。衣领，项圈
colleague		/ 5kRli：g/  n。同事，同僚
collection		/ kE5lekFEn/  n.搜集,收集；收藏品
collective		/ kE5lektiv/  a。集体的;集合性的
collision		/ kE5liV（E)n/  n。碰撞;冲突
colony			/ 5kRlEni/  n.殖民地；侨居地
column			/ 5kRlEm/  n.柱，支柱，圆柱
comb			/ kEum/  n.梳子 vt.梳理
combination		/ kRmbi5neiFEn/  n.结合,联合;化合
command		/ kE5ma:nd/  vt。命令,指挥；控制
commander		/ kE5ma:ndE/  n。司令官，指挥员
comment		/ 5kRment/  n。评论,意见；注释
commerce		/ 5kRmE(:)s/  n.商业，贸易;社交
commercial		/ kE5mE:FEl/  a.商业的;商品化的
commission		/ kE5miFEn/  n。委任状;委员会
commit			/ kE5mit/  vt.犯（错误);干(坏事)
committee		/ kE5miti/  n。委员会；全体委员
community		/ kE5mju：niti/  n。社区；社会；公社
companion		/ kEm5pAniEn/  n.同伴;共事者；伴侣
comparative		/ kEm5pArEtiv/  a。比较的,相对的
comparison		/ kEm5pArisn/  n。比较，对照;比似
compass		/ 5kQmpEs/  n.罗盘，指南针;圆规
compel			/ kEm5pel/  vt.强迫，迫使屈服
compete		/ kEm5pi:t/  vi。比赛；竞争;对抗
competent		/ 5kRmpitEnt/  a。有能力的；应该做的
competition		/ kRmpE5tiFEn/  n。竞争，比赛
complex		/ 5kRmpleks/  a。结合的；复杂的
complicated		/ 5kRmplikeitid/  a.复杂的，难懂的
component		/ kEm5pEunEnt/  n.组成部分；分；组件
compose		/ kEm5pEuz/  vt.组成，构成；创作
composition		/ kRmpE5ziFEn/  n.构成；作品；写作
compound		/ 5kRmpaund， kEm5paund/  n。化合物；复合词
comprehension		/ kRmpri5henFEn/  n。理解,理解力；领悟
comprehensive		/ kRmpri5hensiv/  a。广泛的；理解的
compress		/ kEm5pres/  vt。压紧，压缩
comprise		/ kEm5praiz/  vt。包含，包括；构成
compromise		/ 5kRmprEmaiz/  n。妥协,和解
compute		/ kEm5pju：t/  vt.计算，估计，估算
conceal		/ kEn5si：l/  vt.把…隐藏起来
concentrate		/ 5kRnsEntreit/  vt.集中；聚集；浓缩
concentration		/ kRnsEn5treiFEn/  n。集中;专注；浓缩
concept		/ 5kRnsept/  n.概念，观念,设想
concern		/ kEn5sE：n/  n。关心,挂念；关系
concerning		/ kEn5sE:niN/  prep.关于
concert		/ 5kRnsEt/  n。音乐会，演奏会
conclude		/ kEn5klu：d/  vt.推断出;结束
conclusion		/ kEn5klu：VEn/  n。结论，推论；结尾
concrete		/ 5kRnkri：t/  n。混凝土;具体物
condemn		/ kEn5dem/  vt.谴责，指责;判刑
condense		/ kEn5dens/  vt.压缩，使缩短
condition		/ kEn5diFEn/  n。状况，状态；环境
conduct		/ 5kRndEkt, kEn5dQkt/  n。举止,行为；指导
conductor		/ kEn5dQktE/  n。售票员；(乐队）指挥
conference		/ 5kRnfErEns/  n。会议,讨论会
confess		/ kEn5fes/  vt。供认，承认；坦白
confine		/ kEn5fain/  vt。限制；禁闭
confirm		/ kEn5fE:m/  vt.证实,肯定;批准
conflict		/ 5kRnflikt, kEn5flikt/  n。争论；冲突；斗争
confuse		/ kEn5fju：z/  vt.使混乱，混淆
congratulate		/ kEn5grAtjuleit/  vt.祝贺,向…道喜
congress		/ 5kRNgres/  n。大会;国会,议会
conjunction		/ kEn5dVQNkFEn/  n.接合，连接；连接词
conquer		/ 5kRNkE/  vt.征服，战胜；破除
conquest		/ 5kRNkwest/  n.攻取，征服;克服
conscience		/ 5kRnFEns/  n.良心，道德心
conscious		/ 5kRnFEs/  a.意识到的；有意的
consciousness		/ 5kRnFEsnis/  n.意识，觉悟;知觉
consent		/ kEn5sent/  n。同意，赞成 vi。同意
consequence		/ 5kRnsikwEns/  n。结果,后果
consequently		/ 5kRnsikwEntli/  ad.因此，因而，所以
conservation		/ kRnsE（:）5veiFEn/  n。保存，保护;守恒
conservative		/ kEn5sE:vEtiv/  a.保守的 n.保守的人
considerable		/ kEn5sidErEbl/  a.相当大的;重要的
considerate		/ kEn5sidErit/  a。考虑周到的；体谅的
consideration		/ kEnsidE5reiFEn/  n。考虑，思考；体贴
consist		/ kEn5sist/  vi。由…组成；在于
consistent		/ kEn5sistEnt/  a。坚持的，一贯的
constant		/ 5kRnstEnt/  a。经常的；永恒的
constitute		/ 5kRnstitju:t/  vt。 构成，组成,任命
constitution		/ kRnsti5tju:FEn/  n.章程；体质；构造
construct		/ kEn5strQkt/  vt。建造；建设；构筑
construction		/ kEn5strQkFEn/  n。建造；建筑；建筑物
consult		/ kEn5sQlt/  vt。请教,查阅
consume		/ kEn5sju:m/  vt。消耗，消费；消灭
consumption		/ kEn5sQmpFEn/  n。消耗量；消耗
contact		/ 5kRntAkt, kEn5tAkt/  vt.使接触；与…联系
contain		/ kEn5tein/  vt.包含，容纳；等于
container		/ kEn5teinE/  n。容器；集装箱
contemporary		/ kEn5tempErEri/  a。当代的，同时代的
contempt		/ kEn5tempt/  n。轻蔑；藐视；受辱
content		/ 5kRntent， kEn5tent/  n.内容,目录；容量
content		/ 5kRntent, kEn5tent/  a。满意的，满足的
contest		/ kEn5test， 5kRntest/  vt.争夺,争取；辩驳
continent		/ 5kRntinEnt/  n。大陆;陆地；洲
continual		/ kEn5tinjuEl/  a。不断的；连续的
continue		/ kEn5tinju(：)/  vt。继续，连续；延伸
continuous		/ kEn5tinjuEs/  a。连续不断的，持续的
contract		/ 5kRntrAkt, kEn5trAkt/  n.契约，合同;婚约
contradiction		/ kRntrE5dikFEn/  n.矛盾，不一致；否认
contrary		/ 5kRntrEri/  a。相反的 n。相反
contribute		/ kEn5tribju（：)t/  vt。捐献,捐助;投稿
convenience		/ kEn5vi：njEns/  n。便利，方便；厕所
convenient		/ kEn5vi:njEnt/  a.便利的;近便的
convention		/ kEn5venFEn/  n。习俗，惯例；公约
conventional		/ kEn5venFEnl/  a。普通的;习惯的
conversation		/ kRnvE5seiFEn/  n.会话，非正式会谈
conversely		/ 5kRnvE：sli/  ad。相反地
conversion		/ kEn5vE:FEn/  n.转变,转化;改变
convert		/ kEn5vE:t, 5kRnvE：t/  vt.使转变；使改变
convey			/ kEn5vei/  vt.传送；运送；传播
convince		/ kEn5vins/  vt。使确信，使信服
cooperate		/ kEu5RpEreit/  vi.合作，协作；配合
coordinate		/ kEu5Rdinit/  vt.使协调，调节
copper			/ 5kRpE/  n。铜;铜币，铜制器
cord			/ kR：d/  n。细绳，粗线，索
core			/ kR：/  n.果实的心，核心
corner			/ 5kR：nE/  n。角；犄角；边远地区
corporation		/ kR：pE5reiFEn/  n。公司，企业;社团
correspond		/ kRris5pRnd/  vi。相符合；相当
corresponding		/ kRris5pRndiN/  a.相应的；符合的
corridor		/ 5kRridR：/  n。走廊，回廊，通路
costly			/ 5kRstli/  a.昂贵的；价值高的
cottage		/ 5kRtidV/  n.村舍，小屋
cotton			/ 5kRtn/  n。棉；棉线;棉布
cough			/ kRf/  vi.咳，咳嗽 n。咳嗽
council		/ 5kaunsil/  n.理事会，委员会
count			/ kaunt/  vt.计算 vi。数,计数
counter		/ 5kauntE/  n.柜台；计数器
county			/ 5kaunti/  n.英国的郡,美国的县
crack			/ krAk/  n.裂缝，裂纹 vi.爆裂
craft			/ kra：ft/  n。工艺；手艺，行业
crane			/ krein/  n.起重机,摄影升降机
crash			/ krAF/  vi.碰撞，坠落 n.碰撞
crawl			/ krR：l/  vi.爬，爬行
cream			/ kri：m/  n。奶油，乳脂；奶油色
creature		/ 5kri:tFE/  n.生物，动物，家畜
credit			/ 5kredit/  n。信用贷款；信用
creep			/ kri：p/  vi.爬行；缓慢地行进
crew			/ kru:/  n。全体船员
criminal		/ 5kriminl/  n。犯人，罪犯，刑事犯
crisis			/ 5kraisis/  n.危机；存亡之际
critic			/ 5kritik/  n。批评家，爱挑剔的人
critical		/ 5kritikEl/  a.决定性的;批评的
criticism		/ 5kritisizEm/  n。批评；批判；评论
criticize		/ 5kritisaiz/  vt。批评；评论；非难
crown			/ kraun/  n.王冠,冕；花冠
crude			/ kru:d/  a.简陋的;天然的
cruel			/ 5kruEl/  a.残忍的，残酷的
crush			/ krQF/  vt.压碎,碾碎；镇压
crust			/ krQst/  n。面包皮；硬外皮
crystal		/ 5kristl/  n.水晶,结晶体;晶粒
cube			/ kju:b/  n。立方形；立方
cubic			/ 5kju：bik/  a.立方形的；立方的
cultivate		/ 5kQltiveit/  vt.耕；种植；培养
cupboard		/ 5kQbEd/  n。碗柜,碗碟橱；食橱
cure			/ kjuE/  vt.医治；消除 n.治愈
curiosity		/ kjuEri5Rsiti/  n.好奇，好奇心;珍品
current		/ 5kQrEnt/  a。当前的；通用的
curse			/ kE:s/  n。诅咒，咒骂；天谴
curtain		/ 5kE：tn/  n。帘，窗帘；幕(布）
curve			/ kE:v/  n.曲线；弯 vt。弄弯
cushion		/ 5kuFEn/  n。垫子，坐垫,靠垫
customer		/ 5kQstEmE/  n。顾客，主顾
cycle			/ 5saikl/  n自行车，循环
dairy			/ 5dZEri/  n.牛奶场；乳制品
dam			/ dAm/  n。水坝，水堤；障碍物
dare			/ dZE/  vt.&aux.v.敢；竟敢
deal			/ di：l/  n。买卖；待遇 vt.给予
debate			/ di5beit/  n.&vi.争论，辩论
decade			/ 5dekeid/  n。十年，十年期
decay			/ di5kei/  vi。腐烂；衰败 n.腐烂
deceive		/ di5si:v/  vt。欺骗，蒙蔽,行骗
decide			/ di5said/  vt。决定，决心；解决
deck			/ dek/  n.甲板;舱面；层面
declare		/ di5klZE/  vt.断言；声明；表明
decorate		/ 5dekEreit/  vt.装饰,装璜，修饰
decrease		/ di5kri：s, 5di:kri:s/  vi.＆n.减少,减少
deduce			/ di5dju:s/  vt.演绎,推论,推断
deed			/ di:d/  n。行为；功绩；契约
defect			/ di5fekt/  n.缺点,缺陷，欠缺
definitely		/ 5definitli/  ad.一定地，明确地
definition		/ defi5niFEn/  n。定义，释义；定界
degree			/ di5gri：/  n。程度；度；学位
delicate		/ 5delikit/  a.纤细的;易碎的
delight		/ di5lait/  n。快乐 vt。使高兴
deliver		/ di5livE/  vt.投递，送交;发表
delivery		/ di5livEri/  n.投递；交付；分娩
demand			/ di5ma:nd/  vt.要求；需要；询问
democracy		/ di5mRkrEsi/  n.民主,民主制
democratic		/ demE5krAtik/  a.民主的，民主政体的
